Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;PP;67
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;P.S.O.E.;41
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;Cs;19
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;VOX;15
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;XAV;9
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;ÁvilaLP;5
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;PODEMOS-EQUO;2
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;PACMA;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;IU-Anticapitalistas-PCAS/TC-ALTER;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;179;105;127;160;0;0;FE de las JONS;0
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;P.S.O.E.;145
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;PP;136
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;Cs;44
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;PODEMOS-EQUO;26
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;VOX;18
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;PACMA;4
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;IU-Anticapitalistas-PCAS/TC-ALTER;2
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;FE de las JONS;1
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;XAV;1
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;505;215;308;386;7;1;ÁvilaLP;1
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;P.S.O.E.;151
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;PP;121
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;Cs;38
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;PODEMOS-EQUO;35
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;VOX;20
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;PACMA;4
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;ÁvilaLP;0
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;IU-Anticapitalistas-PCAS/TC-ALTER;0
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;FE de las JONS;0
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;498;211;302;384;8;7;XAV;0
05-002-1-002-A;AVILA;002;LA ADRADA;1;002;A;470;188;271;359;10;3;P.S.O.E.;151
05-002-1-002-A;AVILA;002;LA ADRADA;1;002;A;470;188;271;359;10;3;PP;98
05-002-1-002-A;AVILA;002;LA ADRADA;1;002;A;470;188;271;359;10;3;Cs;43
