Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;231;94;154;189;4;6;VOX;2
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;231;94;154;189;4;6;FE de las JONS;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;231;94;154;189;4;6;UPyD;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;231;94;154;189;4;6;PACMA;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;P.P.;74
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;P.S.O.E.;19
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;C's;4
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;I.U.EQUO;2
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;PODEMOS;2
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;FE de las JONS;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;PACMA;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;VOX;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;150;76;94;118;12;5;UPyD;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;P.P.;62
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;P.S.O.E.;30
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;C's;7
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;PODEMOS;3
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;I.U.EQUO;1
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;PACMA;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;FE de las JONS;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;UPyD;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;140;53;88;109;4;2;VOX;0
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;P.P.;180
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;P.S.O.E.;106
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;PODEMOS;74
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;C's;24
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;I.U.EQUO;6
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;PACMA;3
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;UPyD;3
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;FE de las JONS;2
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;455;276;348;412;8;4;VOX;2
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;P.P.;143
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;P.S.O.E.;89
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;PODEMOS;85
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;C's;19
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;I.U.EQUO;10
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;PACMA;6
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;UPyD;2
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;FE de las JONS;1
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;426;201;304;374;9;9;VOX;1
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;P.P.;267
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;P.S.O.E.;107
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;PODEMOS;61
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;C's;40
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;747;300;407;537;12;21;I.U.EQUO;14
