Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;P.P.;100
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;P.S.O.E.;89
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;UPyD;3
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;PCAL;2
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;IUCyL;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;PACMA;0
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;FE de las J;0
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;215;114;165;196;0;1;PFyV;0
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;P.P.;384
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;P.S.O.E.;264
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;IUCyL;39
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;UPyD;20
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;PCAL;8
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;PFyV;3
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;PACMA;2
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;1019;372;587;758;27;10;FE de las J;1
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;P.P.;348
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;P.S.O.E.;266
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;IUCyL;31
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;UPyD;15
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;PACMA;5
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;PCAL;5
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;FE de las J;3
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;964;387;582;714;21;18;PFyV;2
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;P.P.;127
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;P.S.O.E.;37
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;IUCyL;6
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;UPyD;3
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;FE de las J;3
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;PCAL;1
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;PFyV;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;204;92;154;184;2;5;PACMA;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;P.P.;90
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;P.S.O.E.;6
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;PFyV;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;PCAL;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;PACMA;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;FE de las J;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;IUCyL;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;129;72;87;102;4;2;UPyD;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;P.P.;153
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;P.S.O.E.;61
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;IUCyL;4
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;FE de las J;1
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;PCAL;1
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;UPyD;1
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;PACMA;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;243;123;173;225;1;3;PFyV;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;P.P.;103
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;P.S.O.E.;29
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;UPyD;3
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;IUCyL;1
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;PCAL;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;PACMA;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;PFyV;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;170;88;124;143;5;2;FE de las J;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;P.P.;103
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;P.S.O.E.;32
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;IUCyL;4
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;UPyD;1
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;PCAL;1
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;PACMA;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;FE de las J;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;156;73;116;144;2;1;PFyV;0
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;P.P.;220
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;P.S.O.E.;151
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;IUCyL;9
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;UPyD;2
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;PACMA;1
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;FE de las J;1
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;PFyV;0
05-013-1-001-A;AVILA;013;EL ARENAL;1;001;A;449;264;347;401;11;6;PCAL;0
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;P.P.;189
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;P.S.O.E.;158
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;IUCyL;24
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;UPyD;6
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;PACMA;2
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;PFyV;1
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;PCAL;0
05-013-1-001-B;AVILA;013;EL ARENAL;1;001;B;440;222;315;395;7;8;FE de las J;0
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;P.P.;385
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;P.S.O.E.;132
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;IUCyL;23
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;UPyD;23
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;PACMA;1
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;PCAL;1
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;PFyV;1
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;796;369;494;591;15;10;FE de las J;0
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;P.P.;345
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;P.S.O.E.;143
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;IUCyL;34
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;UPyD;25
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;PACMA;2
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;FE de las J;2
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;PFyV;1
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;769;360;489;585;14;19;PCAL;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;P.P.;221
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;P.S.O.E.;134
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;IUCyL;21
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;UPyD;16
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;PACMA;2
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;FE de las J;1
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;PFyV;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;561;256;344;410;8;7;PCAL;0
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;P.P.;379
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;P.S.O.E.;274
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;IUCyL;55
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;UPyD;32
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;PACMA;8
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;FE de las J;3
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;PCAL;1
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;1042;409;619;784;13;19;PFyV;0
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;P.P.;233
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;P.S.O.E.;167
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;IUCyL;22
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;UPyD;18
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;FE de las J;3
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;PCAL;2
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;PACMA;1
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;621;306;414;469;11;12;PFyV;0
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;P.P.;362
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;P.S.O.E.;176
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;IUCyL;34
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;UPyD;23
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;PACMA;2
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;PCAL;1
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;FE de las J;1
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;863;399;496;639;21;19;PFyV;0
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;P.P.;392
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;P.S.O.E.;189
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;IUCyL;51
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;UPyD;20
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;FE de las J;2
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;PCAL;2
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;PFyV;2
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;894;370;561;703;18;26;PACMA;1
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;P.S.O.E.;43
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;P.P.;26
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;IUCyL;8
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;PCAL;2
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;PACMA;1
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;FE de las J;1
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;PFyV;0
05-015-1-001-U;AVILA;015;AREVALILLO;1;001;U;109;59;71;85;4;0;UPyD;0
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;888;324;468;629;15;16;P.P.;385
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;888;324;468;629;15;16;P.S.O.E.;148
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;888;324;468;629;15;16;UPyD;39
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;888;324;468;629;15;16;IUCyL;16
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;888;324;468;629;15;16;FE de las J;5
05-016-1-001-U;AVILA;016;ARÉVALO;1;001;U;888;324;468;629;15;16;PCAL;2
