022016061010400302002 B00005160000516000000000000000000166000022000000020000001000031000000000000000S
022016061010400901001 U00001620000162000000000000000000063000008000000020000001000012000000000000000S
022016061010401304001 U00007060000706000000000000000000326000042100000030000000000057100000000000000S
022016061010401304004 U00007020000702000000000000000000272000034800000050000001000049000000000000000S
022016061010401307002 U00007740000774000000000000000000315000040200000020000005000052600000000000000S
022016061010401307007 A00006320000632000000000000000000269000034600000040000002000049600000000000000S
022016061010401307010 A00006860000686000000000000000000254000034500000030000004000047300000000000000S
022016061010401307026 U00006410000641000000000000000000278000034100000050000007000048000000000000000S
022016061010403201002 B00005440000544000000000000000000183000026100000010000003000037200000000000000S
022016061010403501001 B00007110000711000000000000000000277000036800000030000004000050200000000000000S
022016061010403504002 B00003210000321000000000000000000112000015200000020000000000021800000000000000S
022016061010403801001 A00007710000771000000000000000000254000037700000050000006000052100000000000000S
022016061010404701001 A00004700000470000000000000000000222000026800000000000001000037700000000000000S
022016061010405902001 A00002020000202000000000000000000092000010400000000000000000012200000000000000S
022016061010406201004 U00008050000805000000000000000000274000038500000040000008000057800000000000000S
022016061010406601001 U00004940000494000000000000000000225000027600000000000008000034700000000000000S
022016061010406601005 C00005260000526000000000000000000175000025400000010000002000030700000000000000S
022016061010407402001 A00007650000765000000000000000000267000038200000020000008000049700000000000000S
022016061010407901014 U00009190000919000000000000000000322000044900000030000009000055600000000000000S
022016061010407901018 A00004830000483000000000000000000159000021400000010000004000026500000000000000S
022016061010407902004 A00005190000519000000000000000000203000028300000020000001000036500000000000000S
022016061010407902015 A00005670000567000000000000000000205000027900000050000001000035500000000000000S
022016061010407902016 A00007470000747000000000000000000233000031600000060000002000044700000000000000S
022016061010408301001 B00005740000575000000000000000000212000031000000020000004000041900000000000000S
022016061010409301002 A00005180000518000000000000000000160000022700000030000002000031500000000000000S
022016061010410101001 A00004830000483000000000000000000235000028400000020000003000035700000000000000S
022016061010410201002 B00005300000530000000000000000000182000026100000010000005000037400000000000000S
022016061010410201006 A00005360000536000000000000000000180000023800000020000002000033100000000000000S
022016061010490201017 U00006680000668000000000000000000238000031400000070000000000039400000000000000S
022016061010490301005 U00005280000528000000000000000000169000024500000030000004000031500000000000000S
022016061011100201003 A00004650000465000000000000000000163000019900000020000004000032400000000000000S
022016061011100401022 A00008890000889000000000000000000288000041000000060000004000054200000000000000S
022016061011100401026 B00006290000629000000000000000000180000027200000020000003000035600000000000000S
022016061011100403010 U00007020000702000000000000000000155000021700000010000002000026700000000000000S
022016061011100403017 A00006860000686000000000000000000218000030800000070000004000043800000000000000S
022016061011100602004 U00007790000779000000000000000000343000040300000090000001000050100000000000000S
022016061011100602006 U00007480000748000000000000000000304000038300000080000003000050200000000000000S
022016061011100604004 B00006530000653000000000000000000097000021100000050000003000041500000000000000S
022016061011100702009 U00005730000573000000000000000000189000024800000110000010000030700000000000000S
022016061011100704002 B00005620000562000000000000000000179000026600000080000005000032800000000000000S
022016061011100801004 B00007770000777000000000000000000289000037600000000000007000051500000000000000S
022016061011100801006 A00007050000705000000000000000000276000035300000100000008000046500000000000000S
022016061011100803001 B00007330000733000000000000000000205000028900000080000009000037000000000000000S
022016061011101202001 A00005420000542000000000000000000232000029900000020000003000038300000000000000S
022016061011101202002 B00006070000607000000000000000000257000033800000040000009000041200000000000000S
022016061011101207006 U00007720000772000000000000000000252000033600000130000008000042400000000000000S
022016061011101208012 B00006270000627000000000000000000222000030100000020000002000036300000000000000S
022016061011101208013 A00005650000565000000000000000000232000029800000030000003000039500000000000000S
022016061011101209005 B00005260000526000000000000000000217000030100000120000003000034200000000000000S
022016061011101210007 U00009150000915000000000000000000302000052800000070000000000068200000000000000S
022016061011101210021 B00006010000601000000000000000000262000034700000030000002000045400000000000000S
022016061011101210026 B00004950000495000000000000000000210000028800000060000007000033100000000000000S
022016061011101403004 A00006220000622000000000000000000202000029600000040000002000037600000000000000S
022016061011101503003 B00004920000492000000000000000000192000026000000010000004000031500000000000000S
022016061011101503004 A00007440000744000000000000000000236000036500000090000003000044900000000000000S
022016061011101504008 B00007310000731000000000000000000272000036400000070000003000046100000000000000S
022016061011101504010 A00005470000547000000000000000000182000024400000030000006000031900000000000000S
022016061011101505011 B00006520000652000000000000000000226000031800000090000002000040100000000000000S
022016061011102002003 U00008740000874000000000000000000375000049700000080000002000061500000000000000S
022016061011102002006 U00008700000870000000000000000000380000051700000050000008000064300000000000000S
022016061011102002017 A00005760000576000000000000000000237000028800000030000000000035800000000000000S
022016061011102003001 U00006550000655000000000000000000219000030300000030000002000038500000000000000S
022016061011102003004 B00005790000579000000000000000000151000018700000050000004000022700000000000000S
022016061011102003018 A00007880000788000000000000000000238000032700000030000008000043300000000000000S
022016061011102004002 A00006640000664000000000000000000274000039900000050000009000052600000000000000S
022016061011102005006 A00005450000545000000000000000000231000027800000000000013000032200000000000000S
022016061011102006024 B00007650000765000000000000000000330000043600000060000006000056900000000000000S
022016061011102006036 A00007530000753000000000000000000306000036900000070000006000048400000000000000S
022016061011102006040 B00005580000558000000000000000000201000026400000070000001000036200000000000000S
022016061011102009002 B00004230000423000000000000000000159000021900000000000002000027600000000000000S
022016061011102010004 A00003080000308000000000000000000115000015000000000000002000019200000000000000S
022016061011102201001 B00005230000523000000000000000000211000027700000020000001000032800000000000000S
022016061011102202001 B00007100000710000000000000000000305000038300000030000006000045100000000000000S
022016061011102204004 A00005000000500000000000000000000159000020800000020000001000025100000000000000S
022016061011102204005 U00008250000825000000000000000000200000026600000060000001000031800000000000000S
